Timestamp,LatencyMs,Type,PTreeReleased,PTreeAllocated
1764611451.118170,0.089407,Value,192,3552
1764611451.118212,0.116587,Value,192,3552
1764611451.118238,0.129938,Range,192,3552
1764611451.118262,0.136852,Range,192,3552
1764611451.118285,0.140190,Range,192,3552
1764611451.118316,0.130415,Value,192,3552
1764611451.118319,0.102520,Value,192,3552
1764611451.118328,0.075102,Range,192,3552
1764611451.118334,0.053644,Range,192,3552
1764611451.118339,0.029564,Range,192,3552
1764611451.128203,0.094891,Range,192,5856
1764611451.128221,0.086546,Range,192,5856
1764611451.128231,0.077009,Value,192,5856
1764611451.128240,0.069618,Range,192,5856
1764611451.128245,0.067472,Range,192,5856
1764611451.138191,0.088930,Value,2016,9984
1764611451.138195,0.076532,Value,2016,9984
1764611451.138204,0.050783,Range,2016,9984
1764611451.138208,0.037670,Value,2016,9984
1764611451.138211,0.025034,Value,2016,9984
1764611451.148194,0.091076,Value,2592,13440
1764611451.148203,0.066042,Range,2592,13440
1764611451.148211,0.055313,Range,2592,13440
1764611451.148215,0.050545,Value,2592,13440
1764611451.148221,0.033617,Range,2592,13440
1764611451.158249,0.138044,Value,3456,17280
1764611451.158269,0.119686,Range,3456,17280
1764611451.158275,0.108242,Value,3456,17280
1764611451.158294,0.091076,Range,3456,17280
1764611451.158302,0.060558,Range,3456,17280
1764611451.168190,0.059366,Value,3840,21408
1764611451.168199,0.046253,Range,3840,21408
1764611451.168212,0.050068,Range,3840,21408
1764611451.168216,0.036955,Value,3840,21408
1764611451.168219,0.034094,Value,3840,21408
1764611451.178228,0.082493,Value,4032,23904
1764611451.178247,0.073910,Range,4032,23904
1764611451.178251,0.072241,Value,4032,23904
1764611451.178259,0.047207,Range,4032,23904
1764611451.178265,0.042200,Range,4032,23904
1764611451.188251,0.084162,Range,4128,26688
1764611451.188263,0.079393,Range,4128,26688
1764611451.188267,0.067472,Value,4128,26688
1764611451.188270,0.057459,Value,4128,26688
1764611451.188278,0.038624,Range,4128,26688
1764611451.198227,0.060797,Value,4512,31008
1764611451.198232,0.049829,Value,4512,31008
1764611451.198236,0.043869,Value,4512,31008
1764611451.198253,0.036955,Range,4512,31008
1764611451.198258,0.037193,Value,4512,31008
1764611451.208238,0.058174,Value,4704,34560
1764611451.208241,0.041723,Value,4704,34560
1764611451.208244,0.035524,Value,4704,34560
1764611451.208247,0.025272,Value,4704,34560
1764611451.208254,0.022173,Range,4704,34560
1764611451.218260,0.065327,Value,5088,40128
1764611451.218263,0.053167,Value,5088,40128
1764611451.218266,0.041962,Value,5088,40128
1764611451.218269,0.028372,Value,5088,40128
1764611451.218271,0.019073,Value,5088,40128
1764611451.228271,0.065327,Value,5184,46368
1764611451.228274,0.054359,Value,5184,46368
1764611451.228277,0.052929,Value,5184,46368
1764611451.228301,0.061274,Range,5184,46368
1764611451.228306,0.039816,Value,5184,46368
1764611451.238302,0.086784,Value,5856,47520
1764611451.238311,0.082493,Range,5856,47520
1764611451.238314,0.065327,Value,5856,47520
1764611451.238316,0.053167,Value,5856,47520
1764611451.238321,0.025511,Range,5856,47520
1764611451.248316,0.100136,Value,5856,48192
1764611451.248338,0.081778,Range,5856,48192
1764611451.248343,0.074863,Value,5856,48192
1764611451.248346,0.072956,Value,5856,48192
1764611451.248356,0.046492,Range,5856,48192
1764611451.258377,0.133514,Range,6624,50784
1764611451.258387,0.125408,Range,6624,50784
1764611451.258391,0.113964,Value,6624,50784
1764611451.258394,0.100613,Value,6624,50784
1764611451.258409,0.084400,Range,6624,50784
1764611451.268325,0.077009,Value,8544,55872
1764611451.268330,0.062227,Value,8544,55872
1764611451.268340,0.050545,Range,8544,55872
1764611451.268367,0.062704,Range,8544,55872
1764611451.268371,0.061274,Value,8544,55872
1764611451.278297,0.052929,Range,8640,56448
1764611451.278302,0.044346,Value,8640,56448
1764611451.278306,0.041485,Value,8640,56448
1764611451.278308,0.041246,Value,8640,56448
1764611451.278310,0.023127,Value,8640,56448
1764611451.288402,0.118971,Range,8736,57312
1764611451.288409,0.110388,Value,8736,57312
1764611451.288414,0.106573,Value,8736,57312
1764611451.288422,0.086308,Range,8736,57312
1764611451.288429,0.067234,Range,8736,57312
1764611451.298347,0.071049,Range,9312,59712
1764611451.298352,0.070333,Value,9312,59712
1764611451.298359,0.063181,Range,9312,59712
1764611451.298362,0.047445,Value,9312,59712
1764611451.298372,0.037193,Range,9312,59712
1764611451.308378,0.083208,Range,10080,63744
1764611451.308388,0.084639,Range,10080,63744
1764611451.308394,0.080824,Value,10080,63744
1764611451.308397,0.065565,Value,10080,63744
1764611451.308406,0.035763,Range,10080,63744
1764611451.318436,0.130177,Range,10848,67968
1764611451.318451,0.115395,Range,10848,67968
1764611451.318461,0.107527,Range,10848,67968
1764611451.318465,0.093699,Value,10848,67968
1764611451.318470,0.086546,Value,10848,67968
1764611451.328387,0.069141,Range,11520,71520
1764611451.328407,0.062704,Range,11520,71520
1764611451.328411,0.047922,Value,11520,71520
1764611451.328415,0.043631,Value,11520,71520
1764611451.328417,0.039101,Value,11520,71520
1764611451.338394,0.083447,Value,11808,75168
1764611451.338413,0.075102,Range,11808,75168
1764611451.338422,0.067472,Range,11808,75168
1764611451.338425,0.053406,Value,11808,75168
1764611451.338427,0.036001,Value,11808,75168
1764611451.348368,0.046015,Value,12192,78144
1764611451.348374,0.035048,Value,12192,78144
1764611451.348378,0.029325,Value,12192,78144
1764611451.348381,0.023365,Value,12192,78144
1764611451.348384,0.019550,Value,12192,78144
1764611451.358449,0.098228,Range,12192,78432
1764611451.358458,0.086546,Range,12192,78432
1764611451.358461,0.074863,Value,12192,78432
1764611451.358464,0.064373,Value,12192,78432
1764611451.358477,0.041723,Range,12192,78432
1764611451.368440,0.083208,Range,12288,80160
1764611451.368458,0.071764,Range,12288,80160
1764611451.368463,0.072479,Value,12288,80160
1764611451.368475,0.068903,Range,12288,80160
1764611451.368483,0.053883,Range,12288,80160
1764611451.378443,0.097752,Value,14400,84864
1764611451.378468,0.092506,Range,14400,84864
1764611451.378473,0.078440,Value,14400,84864
1764611451.378476,0.064850,Value,14400,84864
1764611451.378482,0.045061,Range,14400,84864
1764611451.388426,0.053167,Range,15168,89568
1764611451.388440,0.054598,Range,15168,89568
1764611451.388447,0.050306,Range,15168,89568
1764611451.388453,0.042915,Value,15168,89568
1764611451.388457,0.042915,Value,15168,89568
1764611451.398495,0.103235,Range,15936,93024
1764611451.398505,0.086069,Range,15936,93024
1764611451.398510,0.073910,Value,15936,93024
1764611451.398513,0.066280,Value,15936,93024
1764611451.398515,0.051022,Value,15936,93024
1764611451.408464,0.070572,Value,18624,97632
1764611451.408492,0.077486,Range,18624,97632
1764611451.408502,0.067711,Range,18624,97632
1764611451.408507,0.067472,Value,18624,97632
1764611451.408515,0.054121,Range,18624,97632
1764611451.418466,0.072956,Range,19392,102720
1764611451.418470,0.058413,Value,19392,102720
1764611451.418476,0.033379,Range,19392,102720
1764611451.418481,0.031710,Value,19392,102720
1764611451.418484,0.032187,Value,19392,102720
1764611451.428461,0.052691,Value,20160,107712
1764611451.428463,0.045776,Value,20160,107712
1764611451.428467,0.041246,Value,20160,107712
1764611451.428472,0.025272,Range,20160,107712
