Timestamp,LatencyMs,Type
1764185886.184001,0.132799,Range
1764185886.184032,0.140667,Range
1764185886.184065,0.158072,Value
1764185886.184106,0.178576,Range
1764185886.184131,0.173330,Range
1764185886.184154,0.133514,Range
1764185886.184161,0.104904,Range
1764185886.184165,0.068188,Range
1764185886.184175,0.050306,Value
1764185886.184181,0.034809,Range
1764185886.188969,0.068188,Range
1764185886.188979,0.055790,Range
1764185886.188986,0.057697,Value
1764185886.188989,0.048637,Value
1764185886.188993,0.042677,Value
1764185886.193936,0.056267,Value
1764185886.193942,0.051498,Value
1764185886.193945,0.037193,Value
1764185886.193953,0.032663,Range
1764185886.193957,0.025272,Range
1764185886.199002,0.104189,Value
1764185886.199006,0.091314,Value
1764185886.199011,0.072241,Range
1764185886.199018,0.046730,Range
1764185886.199024,0.026941,Range
1764185886.204022,0.103951,Range
1764185886.204029,0.093460,Value
1764185886.204036,0.066996,Range
1764185886.204043,0.054598,Range
1764185886.204049,0.051022,Range
1764185886.209008,0.091314,Range
1764185886.209013,0.075340,Value
1764185886.209016,0.062943,Value
1764185886.209020,0.041962,Range
1764185886.209028,0.034809,Range
1764185886.214042,0.103712,Range
1764185886.214050,0.075340,Range
1764185886.214056,0.064135,Range
1764185886.214062,0.053644,Value
1764185886.214069,0.047922,Range
1764185886.218985,0.052691,Range
1764185886.218991,0.050306,Value
1764185886.218995,0.032663,Range
1764185886.218997,0.023127,Value
1764185886.219001,0.022888,Value
1764185886.223971,0.032187,Value
1764185886.223975,0.033140,Value
1764185886.223978,0.027895,Value
1764185886.223987,0.026703,Range
1764185886.223991,0.023365,Value
1764185886.229005,0.059366,Range
1764185886.229011,0.046492,Range
1764185886.229016,0.042677,Value
1764185886.229022,0.039577,Range
1764185886.229025,0.028849,Value
1764185886.234020,0.066280,Value
1764185886.234032,0.042439,Range
1764185886.234039,0.041723,Range
1764185886.234044,0.040054,Range
1764185886.234047,0.031233,Value
1764185886.239023,0.065565,Value
1764185886.239037,0.048876,Range
1764185886.239040,0.042915,Value
1764185886.239043,0.028849,Value
1764185886.239045,0.026226,Value
1764185886.244062,0.076294,Range
1764185886.244066,0.061750,Value
1764185886.244070,0.051022,Value
1764185886.244072,0.040770,Value
1764185886.244079,0.026226,Range
1764185886.249048,0.054359,Value
1764185886.249051,0.040770,Value
1764185886.249058,0.037432,Range
