Timestamp,LatencyMs,Type,PTreeReleased,PTreeAllocated
1764630550.082171,0.096083,Range,672,2784
1764630550.082187,0.093222,Range,672,2784
1764630550.082195,0.094652,Range,672,2784
1764630550.082206,0.100136,Range,672,2784
1764630550.082218,0.109196,Value,672,2784
1764630550.082226,0.052214,Value,672,2784
1764630550.082235,0.045776,Value,672,2784
1764630550.082242,0.044346,Range,672,2784
1764630550.082249,0.040293,Range,672,2784
1764630550.082253,0.031710,Range,672,2784
1764630550.092145,0.056982,Range,672,4032
1764630550.092157,0.056744,Range,672,4032
1764630550.092163,0.058174,Value,672,4032
1764630550.092169,0.052214,Range,672,4032
1764630550.092175,0.053167,Value,672,4032
1764630550.102119,0.023842,Range,1056,6720
1764630550.102124,0.025749,Value,1056,6720
1764630550.102130,0.026703,Range,1056,6720
1764630550.102133,0.026703,Value,1056,6720
1764630550.102135,0.026464,Value,1056,6720
1764630550.112123,0.017643,Value,1344,10560
1764630550.112126,0.017405,Value,1344,10560
1764630550.112137,0.024557,Range,1344,10560
1764630550.112141,0.025034,Value,1344,10560
1764630550.112144,0.025511,Value,1344,10560
1764630550.122154,0.033617,Range,1440,11616
1764630550.122171,0.042677,Range,1440,11616
1764630550.122177,0.045061,Value,1440,11616
1764630550.122180,0.043631,Value,1440,11616
1764630550.122185,0.045300,Range,1440,11616
1764630550.132153,0.023603,Value,1632,15552
1764630550.132157,0.021935,Value,1632,15552
1764630550.132166,0.026226,Range,1632,15552
1764630550.132171,0.026941,Value,1632,15552
1764630550.132174,0.026226,Value,1632,15552
1764630550.142178,0.042200,Range,1824,17376
1764630550.142187,0.045538,Range,1824,17376
1764630550.142191,0.045776,Value,1824,17376
1764630550.142200,0.050306,Range,1824,17376
1764630550.142206,0.053883,Value,1824,17376
1764630550.152158,0.015974,Value,1920,23040
1764630550.152168,0.020504,Range,1920,23040
1764630550.152173,0.022650,Value,1920,23040
1764630550.152176,0.024080,Value,1920,23040
1764630550.152179,0.025272,Value,1920,23040
1764630550.162171,0.022650,Value,2208,26976
1764630550.162174,0.021935,Value,2208,26976
1764630550.162176,0.021696,Value,2208,26976
1764630550.162184,0.022888,Range,2208,26976
1764630550.162188,0.024557,Value,2208,26976
1764630550.172182,0.023365,Value,2304,28608
1764630550.172184,0.022650,Value,2304,28608
1764630550.172189,0.025272,Value,2304,28608
1764630550.172192,0.025749,Value,2304,28608
1764630550.172200,0.023365,Range,2304,28608
1764630550.182205,0.037909,Range,3936,34368
1764630550.182212,0.040293,Range,3936,34368
1764630550.182217,0.042200,Value,3936,34368
1764630550.182221,0.042439,Value,3936,34368
1764630550.182227,0.042915,Range,3936,34368
1764630550.192200,0.023127,Range,4128,37344
1764630550.192206,0.024796,Range,4128,37344
1764630550.192210,0.025988,Value,4128,37344
1764630550.192213,0.026464,Value,4128,37344
1764630550.192222,0.031710,Range,4128,37344
1764630550.202211,0.024319,Range,4416,40320
1764630550.202215,0.024557,Value,4416,40320
1764630550.202230,0.036240,Range,4416,40320
1764630550.202239,0.041246,Range,4416,40320
1764630550.202242,0.041246,Value,4416,40320
1764630550.212249,0.047922,Range,4416,40704
1764630550.212259,0.050545,Value,4416,40704
1764630550.212268,0.053406,Range,4416,40704
1764630550.212275,0.053883,Range,4416,40704
1764630550.212278,0.053883,Value,4416,40704
1764630550.222225,0.020981,Value,5184,45024
1764630550.222279,0.068665,Range,5184,45024
1764630550.222284,0.069141,Value,5184,45024
1764630550.222287,0.069141,Value,5184,45024
1764630550.222291,0.070572,Value,5184,45024
1764630550.232233,0.019312,Value,5664,51072
1764630550.232265,0.046730,Range,5664,51072
1764630550.232279,0.056505,Range,5664,51072
1764630550.232282,0.057697,Value,5664,51072
1764630550.232286,0.055790,Value,5664,51072
1764630550.242261,0.036478,Range,5760,52128
1764630550.242269,0.040054,Range,5760,52128
1764630550.242273,0.041485,Value,5760,52128
1764630550.242276,0.041485,Value,5760,52128
1764630550.242278,0.041723,Value,5760,52128
1764630550.252250,0.015974,Value,6048,58464
1764630550.252261,0.022411,Range,6048,58464
1764630550.252264,0.022888,Value,6048,58464
1764630550.252266,0.022650,Value,6048,58464
1764630550.252269,0.023127,Value,6048,58464
1764630550.262277,0.028610,Range,6144,60960
1764630550.262298,0.044584,Range,6144,60960
1764630550.262303,0.046968,Value,6144,60960
1764630550.262316,0.056744,Range,6144,60960
1764630550.262340,0.077248,Range,6144,60960
1764630550.272279,0.021696,Range,6240,66720
1764630550.272283,0.022173,Value,6240,66720
1764630550.272286,0.022173,Value,6240,66720
1764630550.272317,0.049591,Range,6240,66720
1764630550.272321,0.050545,Value,6240,66720
1764630550.282282,0.014544,Value,6528,73632
1764630550.282293,0.021219,Range,6528,73632
1764630550.282296,0.021935,Value,6528,73632
1764630550.282300,0.022888,Value,6528,73632
1764630550.282302,0.022888,Value,6528,73632
1764630550.292298,0.020981,Value,7008,77568
1764630550.292303,0.022650,Value,7008,77568
1764630550.292305,0.022650,Value,7008,77568
1764630550.292331,0.044346,Range,7008,77568
1764630550.292334,0.045776,Value,7008,77568
1764630550.302323,0.034332,Range,7584,83424
1764630550.302328,0.035524,Value,7584,83424
1764630550.302339,0.041962,Range,7584,83424
1764630550.302348,0.047207,Range,7584,83424
1764630550.302356,0.049591,Range,7584,83424
1764630550.312368,0.068665,Range,7680,86784
1764630550.312374,0.071287,Value,7680,86784
1764630550.312382,0.075817,Range,7680,86784
1764630550.312388,0.077963,Range,7680,86784
1764630550.312391,0.078917,Value,7680,86784
1764630550.322353,0.041008,Range,7776,88512
1764630550.322359,0.040293,Value,7776,88512
1764630550.322361,0.038862,Value,7776,88512
1764630550.322363,0.038385,Value,7776,88512
1764630550.322385,0.056267,Range,7776,88512
1764630550.332334,0.016212,Value,7872,90528
1764630550.332338,0.016451,Value,7872,90528
1764630550.332340,0.015736,Value,7872,90528
1764630550.332346,0.019312,Value,7872,90528
1764630550.332358,0.028372,Range,7872,90528
1764630550.342392,0.062704,Range,7968,93408
1764630550.342409,0.074387,Range,7968,93408
1764630550.342418,0.079155,Range,7968,93408
1764630550.342423,0.081301,Range,7968,93408
1764630550.342427,0.082254,Value,7968,93408
1764630550.352422,0.080109,Range,8064,96768
1764630550.352455,0.103951,Range,8064,96768
1764630550.352463,0.109196,Value,8064,96768
1764630550.352475,0.114918,Range,8064,96768
1764630550.352479,0.114918,Value,8064,96768
1764630550.362364,0.017643,Value,8352,103584
1764630550.362368,0.016451,Value,8352,103584
1764630550.362373,0.019550,Value,8352,103584
1764630550.362376,0.020027,Value,8352,103584
1764630550.362392,0.031948,Range,8352,103584
1764630550.372422,0.063419,Range,8832,110880
1764630550.372438,0.073910,Range,8832,110880
1764630550.372443,0.075817,Value,8832,110880
1764630550.372459,0.086546,Range,8832,110880
1764630550.372492,0.115395,Range,8832,110880
1764630550.382416,0.046015,Range,8832,112128
1764630550.382423,0.046968,Value,8832,112128
1764630550.382435,0.053883,Range,8832,112128
1764630550.382438,0.053167,Value,8832,112128
1764630550.382447,0.057459,Range,8832,112128
1764630550.392399,0.020266,Value,8832,113568
1764630550.392414,0.029564,Range,8832,113568
1764630550.392419,0.031233,Value,8832,113568
1764630550.392422,0.030756,Value,8832,113568
1764630550.392435,0.040531,Range,8832,113568
1764630550.402406,0.016928,Value,8832,114336
1764630550.402417,0.024557,Range,8832,114336
1764630550.402425,0.027180,Range,8832,114336
1764630550.402428,0.027657,Value,8832,114336
1764630550.402433,0.030994,Value,8832,114336
1764630550.412414,0.017166,Value,8832,114624
1764630550.412418,0.017405,Value,8832,114624
1764630550.412426,0.021696,Range,8832,114624
1764630550.412429,0.021219,Value,8832,114624
1764630550.412433,0.022173,Value,8832,114624
1764630550.422498,0.089169,Range,9024,120192
1764630550.422509,0.095844,Range,9024,120192
1764630550.422520,0.102997,Range,9024,120192
1764630550.422530,0.109911,Range,9024,120192
1764630550.422534,0.109434,Value,9024,120192
1764630550.432439,0.020504,Value,9696,123840
1764630550.432456,0.031710,Range,9696,123840
1764630550.432462,0.034571,Value,9696,123840
1764630550.432464,0.034809,Value,9696,123840
1764630550.432467,0.035048,Value,9696,123840
1764630550.442452,0.023127,Range,9792,125280
1764630550.442457,0.024796,Value,9792,125280
1764630550.442462,0.026464,Value,9792,125280
1764630550.442465,0.027418,Value,9792,125280
1764630550.442474,0.033617,Range,9792,125280
1764630550.452454,0.016689,Value,9792,126528
1764630550.452468,0.025749,Range,9792,126528
1764630550.452499,0.053167,Range,9792,126528
1764630550.452503,0.054598,Value,9792,126528
1764630550.452507,0.056982,Value,9792,126528
1764630550.462464,0.016928,Value,9984,130944
1764630550.462468,0.017643,Value,9984,130944
1764630550.462471,0.018835,Value,9984,130944
1764630550.462478,0.021935,Range,9984,130944
1764630550.462492,0.031710,Range,9984,130944
1764630550.472469,0.013828,Value,10080,132960
1764630550.472471,0.013351,Value,10080,132960
1764630550.472476,0.015736,Value,10080,132960
1764630550.472479,0.017166,Value,10080,132960
1764630550.472490,0.024080,Range,10080,132960
1764630550.482488,0.021219,Value,10272,134592
1764630550.482508,0.035048,Range,10272,134592
1764630550.482519,0.042439,Range,10272,134592
1764630550.482522,0.042677,Value,10272,134592
1764630550.482525,0.042677,Value,10272,134592
1764630550.492551,0.072479,Range,11808,141504
1764630550.492564,0.080824,Range,11808,141504
1764630550.492568,0.082493,Value,11808,141504
1764630550.492571,0.082016,Value,11808,141504
1764630550.492582,0.086308,Range,11808,141504
1764630550.502510,0.020266,Value,12960,147552
1764630550.502520,0.025272,Range,12960,147552
1764630550.502524,0.026226,Value,12960,147552
1764630550.502530,0.028849,Range,12960,147552
1764630550.502546,0.042200,Range,12960,147552
1764630550.512528,0.026703,Range,13824,151776
1764630550.512533,0.027895,Value,13824,151776
1764630550.512536,0.028133,Value,13824,151776
1764630550.512558,0.046015,Range,13824,151776
1764630550.512578,0.063419,Range,13824,151776
1764630550.522550,0.036240,Range,14592,156192
1764630550.522555,0.038147,Value,14592,156192
1764630550.522563,0.042677,Range,14592,156192
1764630550.522577,0.052452,Range,14592,156192
1764630550.522587,0.059843,Range,14592,156192
1764630550.532546,0.020981,Value,15264,161952
1764630550.532572,0.043154,Range,15264,161952
1764630550.532601,0.068426,Range,15264,161952
1764630550.532605,0.070095,Value,15264,161952
1764630550.532612,0.070333,Range,15264,161952
1764630550.542563,0.025511,Range,15840,166272
1764630550.542568,0.026703,Value,15840,166272
1764630550.542603,0.058174,Range,15840,166272
1764630550.542608,0.060320,Value,15840,166272
1764630550.542629,0.078201,Range,15840,166272
1764630550.552575,0.024796,Range,15840,167136
1764630550.552579,0.025272,Value,15840,167136
1764630550.552582,0.024796,Value,15840,167136
1764630550.552590,0.029325,Range,15840,167136
1764630550.552608,0.043869,Range,15840,167136
1764630550.562576,0.015736,Value,16224,170208
1764630550.562580,0.015259,Value,16224,170208
1764630550.562582,0.015736,Value,16224,170208
1764630550.562585,0.015974,Value,16224,170208
1764630550.562618,0.046015,Range,16224,170208
1764630550.572610,0.032663,Range,16608,174816
1764630550.572620,0.036001,Range,16608,174816
1764630550.572624,0.037432,Value,16608,174816
1764630550.572649,0.058174,Range,16608,174816
1764630550.572655,0.059843,Range,16608,174816
1764630550.582624,0.037670,Range,16608,178080
1764630550.582630,0.038624,Value,16608,178080
1764630550.582639,0.042439,Range,16608,178080
1764630550.582644,0.046253,Value,16608,178080
1764630550.582689,0.087738,Range,16608,178080
1764630550.592617,0.021458,Value,16800,180288
1764630550.592621,0.020504,Value,16800,180288
1764630550.592646,0.041246,Range,16800,180288
1764630550.592650,0.041723,Value,16800,180288
1764630550.592663,0.050068,Range,16800,180288
1764630550.602624,0.019789,Value,16992,187488
1764630550.602635,0.025511,Range,16992,187488
1764630550.602640,0.027657,Value,16992,187488
1764630550.602651,0.034332,Range,16992,187488
1764630550.602655,0.035524,Value,16992,187488
1764630550.612637,0.021458,Value,16992,189408
1764630550.612640,0.020981,Value,16992,189408
1764630550.612680,0.057697,Range,16992,189408
1764630550.612684,0.057697,Value,16992,189408
1764630550.612687,0.053883,Value,16992,189408
1764630550.622658,0.030756,Range,17088,192864
1764630550.622675,0.043631,Range,17088,192864
1764630550.622678,0.044584,Value,17088,192864
1764630550.622692,0.054359,Range,17088,192864
1764630550.622695,0.055552,Value,17088,192864
1764630550.632651,0.015974,Value,17376,198624
1764630550.632658,0.018835,Value,17376,198624
1764630550.632685,0.042200,Range,17376,198624
1764630550.632689,0.043392,Value,17376,198624
1764630550.632692,0.044584,Value,17376,198624
1764630550.642669,0.022888,Value,17376,201888
1764630550.642675,0.025272,Value,17376,201888
1764630550.642730,0.076294,Range,17376,201888
1764630550.642740,0.082016,Range,17376,201888
1764630550.642749,0.083923,Range,17376,201888
1764630550.652676,0.018597,Range,17664,209280
1764630550.652681,0.019550,Value,17664,209280
1764630550.652691,0.026226,Range,17664,209280
1764630550.652694,0.027418,Value,17664,209280
1764630550.652697,0.027657,Value,17664,209280
1764630550.662698,0.030279,Range,18144,216096
1764630550.662713,0.040531,Range,18144,216096
1764630550.662726,0.050306,Range,18144,216096
1764630550.662730,0.051975,Value,18144,216096
1764630550.662733,0.052691,Value,18144,216096
1764630550.672738,0.060320,Range,18336,223776
1764630550.672755,0.072002,Range,18336,223776
1764630550.672761,0.075817,Value,18336,223776
1764630550.672764,0.076532,Value,18336,223776
1764630550.672787,0.091314,Range,18336,223776
1764630550.682706,0.016689,Value,19296,229632
1764630550.682736,0.042439,Range,19296,229632
1764630550.682740,0.043869,Value,19296,229632
1764630550.682743,0.044107,Value,19296,229632
1764630550.682757,0.055313,Range,19296,229632
1764630550.692739,0.037432,Range,19584,231744
1764630550.692760,0.053644,Range,19584,231744
1764630550.692808,0.098467,Range,19584,231744
1764630550.692812,0.100136,Value,19584,231744
1764630550.692822,0.105143,Range,19584,231744
1764630550.702729,0.019789,Value,20736,236928
1764630550.702733,0.019312,Value,20736,236928
1764630550.702759,0.041246,Range,20736,236928
1764630550.702763,0.042200,Value,20736,236928
1764630550.702799,0.074387,Range,20736,236928
1764630550.712745,0.025034,Range,20832,237792
1764630550.712750,0.025988,Value,20832,237792
1764630550.712754,0.026464,Value,20832,237792
1764630550.712757,0.026226,Value,20832,237792
1764630550.712761,0.027895,Value,20832,237792
1764630550.722767,0.031710,Value,20832,239904
1764630550.722824,0.077009,Range,20832,239904
1764630550.722831,0.078201,Value,20832,239904
1764630550.722837,0.081062,Value,20832,239904
1764630550.722840,0.081301,Value,20832,239904
1764630550.732826,0.054121,Range,21792,246336
1764630550.732836,0.057220,Value,21792,246336
1764630550.732841,0.056505,Value,21792,246336
1764630550.732865,0.076532,Range,21792,246336
1764630550.732868,0.077486,Value,21792,246336
1764630550.742808,0.031710,Value,21984,251808
1764630550.742857,0.070572,Range,21984,251808
1764630550.742864,0.071764,Value,21984,251808
1764630550.742867,0.072956,Value,21984,251808
1764630550.742871,0.072718,Value,21984,251808
1764630550.752847,0.048876,Range,22656,259392
1764630550.752853,0.049353,Value,22656,259392
1764630550.752856,0.049353,Value,22656,259392
1764630550.752873,0.058651,Range,22656,259392
1764630550.752882,0.061989,Range,22656,259392
1764630550.762828,0.019789,Value,22752,260832
1764630550.762832,0.018358,Value,22752,260832
1764630550.762851,0.034332,Range,22752,260832
1764630550.762856,0.036240,Value,22752,260832
1764630550.762920,0.096083,Range,22752,260832
