Timestamp,LatencyMs,Type,PTreeReleased,PTreeAllocated
1764631755.478926,0.066042,Range,1152,4032
1764631755.478961,0.025272,Value,1152,4032
1764631755.478980,0.003815,Value,1152,4032
1764631755.479018,0.007868,Range,1152,4032
1764631755.479041,0.003576,Value,1152,4032
1764631755.479054,0.004053,Value,1152,4032
1764631755.479076,0.002623,Value,1152,4032
1764631755.479091,0.003099,Value,1152,4032
1764631755.479109,0.002384,Value,1152,4032
1764631755.479119,0.003576,Value,1152,4032
1764631755.488873,0.022411,Value,2304,8640
1764631755.488926,0.025511,Range,2304,8640
1764631755.488953,0.009298,Range,2304,8640
1764631755.488979,0.006914,Range,2304,8640
1764631755.488991,0.002861,Value,2304,8640
1764631755.498872,0.011683,Range,2400,11808
1764631755.498894,0.003815,Value,2400,11808
1764631755.498924,0.005484,Range,2400,11808
1764631755.498947,0.005960,Range,2400,11808
1764631755.498975,0.016689,Range,2400,11808
1764631755.508893,0.010014,Range,2496,15840
1764631755.508914,0.007868,Value,2496,15840
1764631755.508963,0.013113,Range,2496,15840
1764631755.508995,0.006914,Range,2496,15840
1764631755.509011,0.003815,Value,2496,15840
1764631755.518920,0.032663,Range,2592,20448
1764631755.518954,0.007153,Value,2592,20448
1764631755.518991,0.005245,Range,2592,20448
1764631755.519023,0.009298,Range,2592,20448
1764631755.519052,0.006437,Range,2592,20448
1764631755.528920,0.016451,Value,4320,26112
1764631755.528975,0.017166,Range,4320,26112
1764631755.529011,0.005245,Range,4320,26112
1764631755.529025,0.003815,Value,4320,26112
1764631755.529037,0.003099,Value,4320,26112
1764631755.538922,0.016689,Value,4800,28896
1764631755.538995,0.038385,Range,4800,28896
1764631755.539043,0.014305,Range,4800,28896
1764631755.539073,0.007629,Value,4800,28896
1764631755.539109,0.007629,Range,4800,28896
1764631755.548938,0.019312,Value,4800,31296
1764631755.548966,0.003576,Value,4800,31296
1764631755.549029,0.030041,Range,4800,31296
1764631755.549039,0.002623,Value,4800,31296
1764631755.549049,0.002384,Value,4800,31296
1764631755.558962,0.020742,Value,4800,34080
1764631755.559028,0.022888,Range,4800,34080
1764631755.559095,0.034332,Range,4800,34080
1764631755.559103,0.003815,Value,4800,34080
1764631755.559112,0.003099,Value,4800,34080
1764631755.568991,0.033855,Range,5184,38016
1764631755.569021,0.006676,Range,5184,38016
1764631755.569050,0.008821,Range,5184,38016
1764631755.569068,0.006914,Value,5184,38016
1764631755.569112,0.007629,Range,5184,38016
1764631755.579005,0.043869,Range,5184,38400
1764631755.579050,0.005245,Range,5184,38400
1764631755.579080,0.011444,Value,5184,38400
1764631755.579111,0.005722,Value,5184,38400
1764631755.579125,0.002384,Value,5184,38400
1764631755.588971,0.015020,Range,5184,40608
1764631755.588984,0.005960,Value,5184,40608
1764631755.588990,0.002623,Value,5184,40608
1764631755.589045,0.040531,Range,5184,40608
1764631755.589073,0.006437,Value,5184,40608
1764631755.598978,0.023603,Range,6144,45216
1764631755.599009,0.007629,Value,6144,45216
1764631755.599019,0.005007,Value,6144,45216
1764631755.599088,0.045776,Range,6144,45216
1764631755.599127,0.009060,Range,6144,45216
1764631755.608975,0.012875,Value,6144,45696
1764631755.608999,0.003099,Value,6144,45696
1764631755.609013,0.003815,Value,6144,45696
1764631755.609059,0.021458,Range,6144,45696
1764631755.609071,0.003815,Value,6144,45696
1764631755.619014,0.016928,Range,6336,48000
1764631755.619070,0.022888,Range,6336,48000
1764631755.619096,0.005484,Value,6336,48000
1764631755.619113,0.003099,Value,6336,48000
1764631755.619122,0.002623,Value,6336,48000
