Timestamp,LatencyMs,Type
1764185721.443888,0.141144,Range
1764185721.443918,0.129461,Range
1764185721.443950,0.154495,Value
1764185721.443964,0.141621,Range
1764185721.443984,0.144482,Value
1764185721.444009,0.104189,Value
1764185721.444013,0.075340,Value
1764185721.444016,0.057697,Value
1764185721.444019,0.039101,Value
1764185721.444024,0.018597,Range
1764185721.448865,0.092506,Range
1764185721.448875,0.082254,Range
1764185721.448882,0.070572,Value
1764185721.448886,0.064135,Value
1764185721.448891,0.043631,Range
1764185721.453888,0.115156,Value
1764185721.453899,0.105619,Range
1764185721.453905,0.074148,Range
1764185721.453911,0.046968,Range
1764185721.453915,0.032663,Value
1764185721.458893,0.074863,Range
1764185721.458898,0.062943,Value
1764185721.458903,0.049353,Range
1764185721.458907,0.033617,Value
1764185721.458910,0.029802,Value
1764185721.463864,0.072956,Value
1764185721.463867,0.064611,Value
1764185721.463874,0.039577,Range
1764185721.463881,0.038385,Range
1764185721.463884,0.025034,Value
1764185721.468885,0.081301,Range
1764185721.468892,0.071526,Range
1764185721.468898,0.052214,Range
1764185721.468905,0.036001,Range
1764185721.468909,0.035524,Value
1764185721.473876,0.064373,Value
1764185721.473882,0.036478,Range
1764185721.473886,0.034571,Value
1764185721.473889,0.029564,Value
1764185721.473892,0.020742,Value
1764185721.478858,0.040770,Range
1764185721.478863,0.031948,Value
1764185721.478866,0.030994,Value
1764185721.478874,0.028372,Range
1764185721.478877,0.025988,Value
1764185721.483935,0.080109,Range
1764185721.483943,0.080585,Value
1764185721.483946,0.065088,Value
1764185721.483948,0.060081,Value
1764185721.483953,0.039577,Range
1764185721.488880,0.037909,Value
1764185721.488885,0.035286,Value
1764185721.488892,0.035524,Range
1764185721.488899,0.030279,Range
1764185721.488903,0.030518,Value
1764185721.494037,0.149012,Range
1764185721.494048,0.133276,Range
1764185721.494056,0.124931,Range
1764185721.494062,0.114679,Value
1764185721.494071,0.065327,Range
1764185721.498980,0.111580,Range
1764185721.498986,0.086069,Range
1764185721.498991,0.080109,Range
1764185721.498996,0.043154,Range
1764185721.499001,0.031233,Value
1764185721.503947,0.082254,Value
1764185721.503954,0.061512,Range
